kana,examplesKana,examplesKanji,examplesRomanji,examplesE,examplesG
ミ,ビタミン,,bitamin,vitamin,Vitamin 
り,りか,理科,rika,science,Wissenschaft
リ,アクセサリー,,akusesarii,accessory,Accessoires; Schmuck​
ぎ,ぎんこう,銀行,ginkoo,bank,Bank (Geldinstitut)
ギ,ギター,,gitaa,guitar,Gitarre
じ,じしょ,辞書,jisho,dictionary,Wörterbuch
ジ,ジュース,,juusu,juice,Saft
ぢ,ちかぢか,近々,chiji,soon; nearness,bald 
ヂ,,,,,
び,ゆうびんきょく,郵便局,yuubinkyoku,post office,Post [Filiale]
ビ,テレビ,,terubi,TV,Fernseher 
ぴ,えんぴつ,鉛筆,enpitsu,pencil,Bleistift​
ピ,ピンク,,pinku,pink,pink
う,うたう,歌う,utau,to sing,singen
ウ,ウイスキー,,uisuki,whiskey,Whiskey
く,くろ,黒,kuro,black,schwarz
ク,クリスマス,,kurisumasu,Christmas,Weihnachten
す,すわる,座る,suwaru,to sit,sitzen
ス,スポーツ,,supōtsu,sport,Sport
つ,つき,月,tsuki,moon,Mond
ツ,スポーツ,,supōtsu,sport,Sport
ぬ,いぬ,犬,inu,dog,Hund
ヌ,カヌー,,kanuu,canoe,Kanu
ふ,ふゆ,冬,fuyu,winter,Winter
フ,フュージョン,,fyuujon,fusion,Fusion 
む,かむ,噛む,kamu,to bite,beißen
む,むすめ,娘,musume,daugher (own),Tochter (eigene)
ム,アイスクリーム,,aisukuriimu,ice cream,Eis
ゆ,ゆき,雪,yuki,snow,Schnee
ゆ,ゆうびんきょく,郵便局,yuubinkyoku,post office,Postamt
ユ,ユーモア,,yuumoa,humor,Humor 
る,たべる,食べる,taberu,to eat,essen
ル,ホテル,,hoteru,hotel,Hotel 
ぐ,ぐんたい,軍隊,guntai,armed forces; military; troops​,Militär; Armee
グ,グループ,,guruupu,group,Gruppe 
ず,みず,水,mizu,water,Wasser
ズ,ジーンズ,,jiinzu,jeans,Jeans 
づ,つづ,続く,tsuzu,to continue,weitergehen
ヅ,,,,[no example found],[kein Beispiel gefunden]
ぶ,どうぶつ,動物,dōbutsu,animal,Tier
ブ,テーブル,,teepuru,table,Tisch 
ぷ,きっぷ,,kippu,ticket,Fahr/Eintrittskarte 
プ,プール,,puuru,pool,Pool 
きゅ,ちきゅう,地球,chikyuu,earth; globe,Erde; Globus
きゅ,きゅうり,,kyuuri,cucumber,Gurke
しゅ,しゅみ,趣味,shumi,hobby,Hobby
ちゅ,ちゅうごくご,中国語,chūgokugo,Chinese [language],Chinesisch [Sprache]
にゅ,にゅうがく,入学,nyuugaku,entry to school or university; matriculation,Einschulung; Einschreibung
ひゅ,,,,[no example found],[kein Beispiel gefunden]
みゅ,,,,[no example found],[kein Beispiel gefunden]
りゅ,りゅう,竜,ryuu,dragon,Drache
え,え,絵,e,picture,Bild
エ,エンジン,,enjin,engine,Motor
け,さけ,酒,sake,alcohol; sake,Alkohol; Sake
ケ,ケーキ,,keeki,cake,Kuchen
せ,せん,千,sen,thousand,tausend
セ,セーター,,seetaa,sweater;jumper,Pullover
て,てがみ,手紙 ,tegami,letter,Brief
テ,ホテル,,hoteru,hotel,Hotel 
テ,ホテル,,hoteru,hotel,Hotel 
ね,ねる,寝る,neru,to sleep,schlafen
ネ,ネクタイ,,nekutai,tie;necktie,Schlips
へ,へや,部屋,heya,room;chamber,Zimmer 
ヘ,ヘリコプター,,herikoputaa,helicopter,Hubschrauber 
め,め,目,me,eye,Auge
メ,アニメ,,anime,anime,Anime 
メ,メニュー,,menyū,menu,Speisekarte
れ,れきし,歴史,rekishi,history,Geschichte
レ,レストラン,,resutoran,restaurant,Restaurant
げ,げつようび,月曜日,getsuyoobi,monday,Montag
ゲ,ゲスト,,gesuto,guest,Gast
ぜ,ぜんぜん,全然,zenzen,not at all (with neg. verb);wholly,überhaupt nicht (mit neg. Verb);insgesamt 
ゼ,ゼロ,,zero,zero,Null
で,でんわ,電話,denwa,telephone,Telephon
デ,デパート,,depaato,department store,Kaufhaus
べ,べんきょう,勉強,benkyō,study,Studien;Lernen
ベ,ベッド,,beddo,bed,Bett
ぺ,だんぺん,断片,danpen,fragment; scrap,Fragment
ペ,ペン,,pen,pen,Füller 
お,おんがく,音楽,ongaku,music,Musik
オ,オレンジ,,orenji,orange,Orange [Farbe]
こ,ねこ,猫,neko,cat,Katze
コ,コーヒー,,koohii,coffee,Kaffee
そ,そと,外,soto,outside,draußen
ソ,ソフト,,sofuto,soft,sanft
と,とけい,時計,tokei,watch,Uhr
ト,トマト,,tomato,tomato,Tomate
の,のむ,飲む,nomu,to drink,trinken
ノ,ピアノ,,piano,piano,Klavier;piano 
ノ,ノート,,nōto,notebook,Notizbuch
ほ,ほこり,,hokori,dust,Staub
ほ,ほん,本,hon,book,Buch
ホ,ホテル,,hoteru,hotel,Hotel 
ホ,ホーム,,hōmu,platform (railway),Bahnsteig 
も,こども,子供,kodomo,child,Kind
モ,モデル,,moderu,model,Modell; Model
よ,よむ,読む,yomu,to read,lesen
ヨ,ヨーグルト,,yooguruto,yogurt,Jogurt
ろ,しろ,白,shiro,white,weiß
ロ,キロ,,kiro,kilo-; kilogram,Kilogramm
を,,,,[object-case marker],[Objekt-Kasus]
ヲ,,,,,,[no example found],[kein Beispiel gefunden]
ご,しごと,仕事,shigoto,work,Arbeit
ゴ,ゴール,,gooru,goal; basket,Tor; Korb 
ゴ,コップ,,goppu,glass (for drinking),Tasse 
ぞ,かぞく,家族,kazoku,family,Familie
ゾ,リゾート,,rizooto,resort,Resort 
ど,どうぶつ,動物,dōbutsu,animal,Tier
ド,ドイツご,ドイツ語,doitsugo,German [language],Deutsch [Sprache]
ぼ,そぼ,祖母,soba,grandmother,Großmutter 
ボ,ボールペン,,bōrupen,ball-point pen,Kugelschreiber 
ボ,ボーナス,,bōnasu,bonus,Bonus
ぽ,さんぽ,散歩,sanpo,walk;stroll,Spaziergang
ポ,スポーツ,,supōtsu,sport,Sport
ポ,ポスター,,posutā,poster,Poster 
きょ,きょう,今日,kyou,today,heute
きょ,ゆうびんきょく,郵便局,yuubinkyoku,post office,Post
しょ,としょかん ,図書館,toshokan,library,Bibliothek
ちょ,しゃちょう,社長,shachoo,company president; manager,Manager
にょ,にょう,尿,nyoo,urine,Urin
ひょ,ひょうか,評価,hyooka,valuation;estimation,Schätzung
みょ,みょう,妙,myoo,strange;weird,merkwürdig;seltsam
りょ,りょこう,,ryokoo,travel;trip,Reise; reisen 
ん,じかん,時間,jikan,time,Zeit 
ン,サンドイッチ,,sandoitchi,sandwich,Sandwich
キャ,キャンディ,,kyandi,candy,Bonbon
シャ,シャンパン,,shanpan,Champagne,Champagner
チャ,チャンス,,chansu,chance,Chance
ニャ,コニャック ,konyakku,,cognac,Kognak
ヒャ,,,,[no example found],[kein Beispiel gefunden]
ミャ, ミャンマー ,,myanmaa,Myanmar,Myanmar
リャ,リュブリャナ ,ryuburyana,,Ljubljana [Slovenian city], Ljubljana [Stadtname]
キュ,バーベキュー,,baabekyuu	barbecue,Grill
シュ,キャッシュカード,,kyasshukaado,cash card,EC Karte,,,,
チュ, チューリップ ,,chuurippu,tulip,Tulpe
ニュ,メニュー,,menyuu,menu,Menü/Karte
ヒュ,ヒューマニズム ,,hyuumanizumu,humanism,Humanismus
ミュ,ミュージック,,myuujikku,music,Musik
リュ,グリューワイン,,geryuuwain,spiced mulled wine,Glühwein
キョ,キョロキョロ ,,kyokokyoko,(looking around) restlessly,
ショ,ショック ,,shokku,shock,Schock
チョ,チョコレート,,chokoreeto,chocolate,Schokolade
ニョ,ニョッキ ,,kyokki,gnocchi,Gnocchi
ヒョ,,,,[no example found],[kein Beispiel gefunden]
ミョ,,,,[no example found],[kein Beispiel gefunden]
リョ,リョーマチ,,ryoomachi,rheumatism,Rheumatismus
